,Ceremony,Year,Class,CanonicalCategory,Category,Film,FilmId,Name,Nominees,Winner
4306,37,1964,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Seance on a Wet Afternoon,tt0058557,Kim Stanley,Kim Stanley,
4307,37,1964,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,My Fair Lady,tt0058385,Gladys Cooper,Gladys Cooper,
4308,37,1964,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,The Chalk Garden,tt0057933,Dame Edith Evans,Dame Edith Evans,
4309,37,1964,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,The Night of the Iguana,tt0058404,Grayson Hall,Grayson Hall,
4310,37,1964,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Zorba the Greek,tt0057831,Lila Kedrova,Lila Kedrova,True
4311,37,1964,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,"Hush...Hush, Sweet Charlotte",tt0058213,Agnes Moorehead,Agnes Moorehead,
4312,37,1964,Production,ART DIRECTION (Black-and-White),ART DIRECTION (Black-and-White),The Americanization of Emily,tt0057840,"Art Direction: George W. Davis, Hans Peters, Elliot Scott; Set Decoration: Henry Grace, Robert R. Benton","George W. Davis, Hans Peters, Elliot Scott, Henry Grace, Robert R. Benton",
4313,37,1964,Production,ART DIRECTION (Black-and-White),ART DIRECTION (Black-and-White),"Hush...Hush, Sweet Charlotte",tt0058213,Art Direction: William Glasgow; Set Decoration: Raphael Bretton,"William Glasgow, Raphael Bretton",
4314,37,1964,Production,ART DIRECTION (Black-and-White),ART DIRECTION (Black-and-White),The Night of the Iguana,tt0058404,Stephen Grimes,Stephen Grimes,
4315,37,1964,Production,ART DIRECTION (Black-and-White),ART DIRECTION (Black-and-White),Seven Days in May,tt0058576,Art Direction: Cary Odell; Set Decoration: Edward G. Boyle,"Cary Odell, Edward G. Boyle",
4316,37,1964,Production,ART DIRECTION (Black-and-White),ART DIRECTION (Black-and-White),Zorba the Greek,tt0057831,Vassilis Fotopoulos,Vassilis Fotopoulos,True
4317,37,1964,Production,ART DIRECTION (Color),ART DIRECTION (Color),Becket,tt0057877,"Art Direction: John Bryan, Maurice Carter; Set Decoration: Patrick McLoughlin, Robert Cartwright","John Bryan, Maurice Carter, Patrick McLoughlin, Robert Cartwright",
4318,37,1964,Production,ART DIRECTION (Color),ART DIRECTION (Color),Mary Poppins,tt0058331,"Art Direction: Carroll Clark, William H. Tuntke; Set Decoration: Emile Kuri, Hal Gausman","Carroll Clark, William H. Tuntke, Emile Kuri, Hal Gausman",
4319,37,1964,Production,ART DIRECTION (Color),ART DIRECTION (Color),My Fair Lady,tt0058385,"Art Direction: Gene Allen, Cecil Beaton; Set Decoration: George James Hopkins","Gene Allen, Cecil Beaton, George James Hopkins",True
4320,37,1964,Production,ART DIRECTION (Color),ART DIRECTION (Color),The Unsinkable Molly Brown,tt0058708,"Art Direction: George W. Davis, Preston Ames; Set Decoration: Henry Grace, Hugh Hunt","George W. Davis, Preston Ames, Henry Grace, Hugh Hunt",
4321,37,1964,Production,ART DIRECTION (Color),ART DIRECTION (Color),What a Way to Go!,tt0058743,"Art Direction: Jack Martin Smith, Ted Haworth; Set Decoration: Walter M. Scott, Stuart A. Reiss","Jack Martin Smith, Ted Haworth, Walter M. Scott, Stuart A. Reiss",
4322,37,1964,Production,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Black-and-White),The Americanization of Emily,tt0057840,Philip H. Lathrop,Philip H. Lathrop,
4323,37,1964,Production,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Black-and-White),Fate Is the Hunter,tt0058091,Milton Krasner,Milton Krasner,
4324,37,1964,Production,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Black-and-White),"Hush...Hush, Sweet Charlotte",tt0058213,Joseph Biroc,Joseph Biroc,
4325,37,1964,Production,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Black-and-White),The Night of the Iguana,tt0058404,Gabriel Figueroa,Gabriel Figueroa,
4326,37,1964,Production,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Black-and-White),Zorba the Greek,tt0057831,Walter Lassally,Walter Lassally,True
4327,37,1964,Production,CINEMATOGRAPHY (Color),CINEMATOGRAPHY (Color),Becket,tt0057877,Geoffrey Unsworth,Geoffrey Unsworth,
4328,37,1964,Production,CINEMATOGRAPHY (Color),CINEMATOGRAPHY (Color),Cheyenne Autumn,tt0057940,William H. Clothier,William H. Clothier,
4329,37,1964,Production,CINEMATOGRAPHY (Color),CINEMATOGRAPHY (Color),Mary Poppins,tt0058331,Edward Colman,Edward Colman,
4330,37,1964,Production,CINEMATOGRAPHY (Color),CINEMATOGRAPHY (Color),My Fair Lady,tt0058385,Harry Stradling,Harry Stradling,True
4331,37,1964,Production,CINEMATOGRAPHY (Color),CINEMATOGRAPHY (Color),The Unsinkable Molly Brown,tt0058708,Daniel L. Fapp,Daniel L. Fapp,
4332,37,1964,Production,COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Black-and-White),A House Is Not a Home,tt0058209,Edith Head,Edith Head,
4333,37,1964,Production,COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Black-and-White),"Hush...Hush, Sweet Charlotte",tt0058213,Norma Koch,Norma Koch,
4334,37,1964,Production,COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Black-and-White),Kisses for My President,tt0058266,Howard Shoup,Howard Shoup,
4335,37,1964,Production,COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Black-and-White),The Night of the Iguana,tt0058404,Dorothy Jeakins,Dorothy Jeakins,True
4336,37,1964,Production,COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Black-and-White),The Visit,tt0058724,René Hubert,René Hubert,
4337,37,1964,Production,COSTUME DESIGN (Color),COSTUME DESIGN (Color),Becket,tt0057877,Margaret Furse,Margaret Furse,
4338,37,1964,Production,COSTUME DESIGN (Color),COSTUME DESIGN (Color),Mary Poppins,tt0058331,Tony Walton,Tony Walton,
4339,37,1964,Production,COSTUME DESIGN (Color),COSTUME DESIGN (Color),My Fair Lady,tt0058385,Cecil Beaton,Cecil Beaton,True
4340,37,1964,Production,COSTUME DESIGN (Color),COSTUME DESIGN (Color),The Unsinkable Molly Brown,tt0058708,Morton Haack,Morton Haack,
4341,37,1964,Production,COSTUME DESIGN (Color),COSTUME DESIGN (Color),What a Way to Go!,tt0058743,"Edith Head, Moss Mabry","Edith Head, Moss Mabry",
4342,37,1964,Directing,DIRECTING,DIRECTING,Becket,tt0057877,Peter Glenville,Peter Glenville,
4343,37,1964,Directing,DIRECTING,DIRECTING,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,Stanley Kubrick,Stanley Kubrick,
4344,37,1964,Directing,DIRECTING,DIRECTING,Mary Poppins,tt0058331,Robert Stevenson,Robert Stevenson,
4345,37,1964,Directing,DIRECTING,DIRECTING,My Fair Lady,tt0058385,George Cukor,George Cukor,True
4346,37,1964,Directing,DIRECTING,DIRECTING,Zorba the Greek,tt0057831,Michael Cacoyannis,Michael Cacoyannis,
